13  M4A1 消音型（StatTrak™） | 闪回 (久经沙场)
 1359.5  摩托手套（★） | 多边形 (久经沙场)
 1.33  加利尔 AR（StatTrak™） | 黑砂 (战痕累累)
 435  驾驶手套（★） | 护卫 (久经沙场)
 1089  驾驶手套（★） | 菱背蛇纹 (略有磨损)
 10.15  法玛斯 | 机械工业 (久经沙场)
 10.1  法玛斯 | 机械工业 (久经沙场)
 1820  运动手套（★） | 双栖 (战痕累累)
 304.16  驾驶手套（★） | 墨绿色调 (久经沙场)
 1.98  MP7（StatTrak™） | 卷云 (久经沙场)
 2579  专业手套（★） | 大腕 (略有磨损)
 1.32  加利尔 AR（StatTrak™） | 黑砂 (战痕累累)
 1919.5  驾驶手套（★） | 深红织物 (久经沙场)
 549  血猎手套（★） | 游击队 (战痕累累)
 8788  专业手套（★） | 深红和服 (略有磨损)
 990  血猎手套（★） | 游击队 (略有磨损)
 4550  专业手套（★） | 深红和服 (久经沙场)
 3964.99  运动手套（★） | 树篱迷宫 (久经沙场)
 14.45  P90 | 浅坟 (略有磨损)
 1.13  MP7 | 卷云 (略有磨损)
 437  九头蛇手套（★） | 红树林 (战痕累累)
 300  驾驶手套（★） | 墨绿色调 (战痕累累)
 1600  运动手套（★） | 欧米伽 (战痕累累)
 1360  摩托手套（★） | 多边形 (久经沙场)
 10.51  USP 消音版 | 次时代 (略有磨损)
 4.85  M4A1 消音型 | 闪回 (略有磨损)
 1.12  MP7 | 卷云 (略有磨损)
 2.89  M4A1 消音型 | 闪回 (久经沙场)
 13.7  截短霰弹枪 | 荒野公主 (略有磨损)
 2.86  加利尔 AR（StatTrak™） | 黑砂 (略有磨损)
 438  专业手套（★） | 狩鹿 (久经沙场)
 42.3  SSG 08 | 炎龙之焰 (久经沙场)
 2550  摩托手套（★） | *嘣！* (略有磨损)
 1348  专业手套（★） | 元勋 (久经沙场)
 7.96  P90 | 浅坟 (久经沙场)
 73.9  M4A4 | 喧嚣杀戮 (略有磨损)
 10  法玛斯 | 机械工业 (久经沙场)
 8.88  双持贝瑞塔（StatTrak™） | 皇室伴侣 (略有磨损)
 154.5  M4A4（StatTrak™） | 喧嚣杀戮 (久经沙场)
 6.96  USP 消音版 | 次时代 (久经沙场)
 1629.5  运动手套（★） | 欧米伽 (战痕累累)
